lead_id,first_name,last_name,email,phone,company,job_title,industry,lead_source,created_date,country,employee_count
1976,Lynn,Jackson,gryan@yahoo.com,7825406776,Evans-Marsh,Specialist,Retail,Email Campaign,28/01/2026,Singapore,100
3459,Lindsay,Conner,jmitchell@evans.info,00109222498690753,Ross LLC,Manager,Finance,Facebook Ads,28/01/2026,Singapore,10
3744,Mark,Huff,russelltony@jensen-hawkins.com,19135018923009,"Garcia, Dillon and Mitchell",Manager,Education,Facebook Ads,28/01/2026,Singapore,
302,Brandon,Gibson,zunigamatthew@fowler.org,6444728631455,Rodriguez-Davis,Manager,Finance,Google Ads,27/01/2026,Singapore,1000
669,Matthew,Clark,halljulian@yahoo.com,6340517355,Fry Inc,Coordinator,Retail,Referral,27/01/2026,United States,1000
829,Jo,Pennington,lawsonjennifer@hotmail.com,7530301680,Porter-Fox,Manager,Finance,Email Campaign,27/01/2026,United Kingdom,250
1183,Bryan,Johnson,josephgonzalez@yahoo.com,3697302473,Cook Inc,Specialist,Finance,Website,27/01/2026,Philippines,1000
4011,Maria,Dunn,wgraves@yahoo.com,19038141663407,Mason and Sons,Engineer,Finance,Email Campaign,27/01/2026,Philippines,500
2503,Cindy,Sexton,blynch@smith.com,00152409948583491,Bright-Sutton,Director,Manufacturing,Website,26/01/2026,United States,100
3096,Amanda,Cook,thomasallen@foster.com,104048691743552,Brown-Scott,Analyst,Manufacturing,Referral,26/01/2026,Singapore,25
3553,Jodi,Mercer,pblack@gmail.com,5098985923,"Johnson, Skinner and Taylor",Engineer,Retail,Referral,26/01/2026,Singapore,500
3785,Matthew,Gordon,jerry88@gmail.com,78225177767099,Boyd-Rogers,Analyst,Retail,Google Ads,26/01/2026,United Kingdom,1000
4747,Kathy,Sullivan,porterkelly@moore-flowers.com,6042566254,Watkins-Chavez,Specialist,Education,Website,26/01/2026,United Kingdom,
243,Katherine,Simmons,bennettsarah@jackson.net,4759108358,"Davis, Wong and Elliott",Director,Manufacturing,Facebook Ads,25/01/2026,Singapore,500
1513,Maria,Hicks,michaelrodriguez@sanders.info,001496790198538891,Rogers-Green,Manager,Finance,Website,25/01/2026,Singapore,50
2264,Gabriela,Miller,mchapman@wang.com,9044985719912,Moses-Rodriguez,Director,Finance,Email Campaign,25/01/2026,United Kingdom,1000
2921,Rebecca,Huerta,timothyacosta@warren-massey.info,339613133164035,"Mcdaniel, Peck and Marquez",Director,Manufacturing,Email Campaign,25/01/2026,United States,10
3691,Kendra,Clarke,popeanita@campbell-stephens.com,1684989418,Graves Inc,Analyst,Finance,Google Ads,25/01/2026,Australia,50
4862,James,Keith,bsmith@yahoo.com,001879516078776051,"Mccarthy, Rice and Taylor",Engineer,Education,Event,25/01/2026,Australia,100
4954,Carlos,Johnson,lunanicholas@yahoo.com,8455422128,Kim-Little,Manager,Education,Website,25/01/2026,Singapore,10
426,John,Haley,noliver@taylor.info,0011999599221850,"Collier, Miller and Douglas",Engineer,Education,Facebook Ads,24/01/2026,United Kingdom,10
2319,Brent,Pham,dunnjaime@james-smith.net,8600282003895,Simpson-Pratt,Manager,Retail,Event,24/01/2026,Philippines,250
2402,Kelly,Fox,lisaibarra@gmail.com,77250048996381,Brown and Sons,Analyst,Technology,Referral,24/01/2026,Australia,250
3797,Alexandra,Mclaughlin,jschmidt@yahoo.com,8507294075,Hicks-Wright,Engineer,Manufacturing,Facebook Ads,24/01/2026,Philippines,
4184,Sandy,Villarreal,gcarson@king-parker.org,74190361467750,Lewis and Sons,Manager,Healthcare,Email Campaign,24/01/2026,Singapore,50
434,Deborah,Hawkins,oclark@hotmail.com,6935551608,Potter-Gallagher,Coordinator,Technology,Event,23/01/2026,Singapore,1000
1366,Michael,Hammond,andradejohn@murphy.com,1962289377493,Sanchez PLC,Analyst,Healthcare,Referral,23/01/2026,United Kingdom,1000
3023,Joseph,Daniels,vroberts@yahoo.com,107440040690648,"Reed, Campbell and Martinez",Engineer,Retail,Email Campaign,23/01/2026,United States,100
3291,Christopher,Garcia,rfrost@moore.info,75517911175244,"Miller, Salazar and Christensen",Director,Manufacturing,Email Campaign,23/01/2026,United Kingdom,25
4217,Philip,Giles,harryarroyo@miller.org,001256949327095730,Wade-Ramos,Manager,Manufacturing,Website,23/01/2026,United Kingdom,500
771,Stacey,Velasquez,vincentmartinez@hotmail.com,1487954711645280,"Rogers, Sawyer and Long",Engineer,Education,Website,22/01/2026,Australia,50
3405,Daniel,Hernandez,frazierrobert@yahoo.com,1475794659,"Edwards, Cunningham and Willis",Manager,Retail,Facebook Ads,22/01/2026,Australia,500
3912,Andrew,Davis,isaac12@yahoo.com,11990350063976,Moore and Sons,Analyst,Healthcare,Google Ads,22/01/2026,United States,500
395,Christopher,Rocha,gmoore@perry-mills.com,6315673108,"Moss, Jones and Watson",Coordinator,Retail,Website,21/01/2026,United Kingdom,10
2524,Stephanie,Chambers,kreese@carpenter-phillips.com,977274971191082,Ross-Welch,Specialist,Healthcare,Email Campaign,21/01/2026,Singapore,100
2532,Rhonda,Miller,sarah49@hotmail.com,7806471232,"Benjamin, Brown and Jones",Manager,Retail,Referral,21/01/2026,United States,50
3026,Marvin,Alexander,stevenjennings@yahoo.com,001022539896742519,Edwards Inc,Coordinator,Retail,Google Ads,21/01/2026,United States,250
3510,Katherine,Lee,hardylacey@gmail.com,0016837519560,"Flores, Garcia and Hill",Coordinator,Retail,Referral,21/01/2026,Australia,250
4904,David,Watson,dennis70@greer.com,2776847733,Harris and Sons,Director,Retail,Referral,21/01/2026,Singapore,500
687,Jason,Hill,franciskenneth@fitzpatrick.com,1562856548,Bean-Thomas,Specialist,Healthcare,Facebook Ads,20/01/2026,United Kingdom,100
2227,Bradley,Miller,bushjames@hotmail.com,1804141751200643,Johnson-Day,Manager,Education,Website,20/01/2026,Philippines,10
2842,Janet,Richardson,lauravargas@yahoo.com,186350643851559,Goodman-Murillo,Engineer,Retail,Google Ads,20/01/2026,Singapore,250
3473,Paula,Smith,stephensonsamantha@hotmail.com,92133367159837,Payne PLC,Specialist,Manufacturing,Email Campaign,20/01/2026,United Kingdom,10
3940,Sarah,Owens,christinagardner@peters.com,933444333949595,"Rivera, Young and Davis",Coordinator,Retail,Email Campaign,20/01/2026,Australia,1000
